time,dv,Norm
0,4.8,0.999998237
1.5,4.018029671,0.803040784
3,4.007525428,0.800395045
4.5,3.524291062,0.678681207
6,2.956160464,0.535584274
7.5,2.944715543,0.532701604
9,3.277872499,0.616614948
10.5,2.709428342,0.473439038
12,2.054676936,0.308524636
13.5,0.97081937,0.035529846
15,0.829756795,0
16.5,1.593195759,0.192289845
18,1.96927117,0.287013203
19.5,2.816822467,0.500488752
21,2.290826425,0.368004389
22.5,2.967331021,0.538397839
24,4.8,0.999998237
25.5,4.018029671,0.803040784
27,4.007525428,0.800395045
28.5,3.524291062,0.678681207
30,2.956160464,0.535584274
31.5,2.944715543,0.532701604
33,3.277872499,0.616614948
34.5,2.709428342,0.473439038
36,2.054676936,0.308524636
37.5,0.97081937,0.035529846
39,0.829756795,0
40.5,1.593195759,0.192289845
42,1.96927117,0.287013203
43.5,2.816822467,0.500488752
45,2.290826425,0.368004389
46.5,2.967331021,0.538397839
48,4.8,0.999998237
